"variable name","field length"
"NCESSCH","12"
"STID01","14"
"SEASCH01","20"
"LEANM01","60"
"SCHNAM01","50"
"PHONE01","10"
"MSTREE01","30"
"MCITY01","30"
"MSTATE01","2"
"MZIP01","5"
"MZIP401","4"
"LSTREE01","30"
"LCITY01","30"
"LSTATE01","2"
"LZIP01","5"
"LZIP401","4"
"TYPE01","1"
"STATUS01","1"
"LOCALE01","1"
"INOUT01","1"
"LATCOD01","10"
"LONCOD01","10"
"FTE01","5*"
"GSLO01","2"
"GSHI01","2"
"LEVEL01","1"
"TITLEI01","1"
"STITLI01","1"
"MAGNET01","1"
"CHARTR01","1"
"FRELCH01","4"
"REDLCH01","4"
"TOTFRL01","4"
"MIGRNT01","4"
"PK01","4"
"AMPKM01","4"
"AMPKF01","4"
"AMPKU01","4"
"ASPKM01","4"
"ASPKF01","4"
"ASPKU01","4"
"HIPKM01","4"
"HIPKF01","4"
"HIPKU01","4"
"BLPKM01","4"
"BLPKF01","4"
"BLPKU01","4"
"WHPKM01","4"
"WHPKF01","4"
"WHPKU01","4"
"KG01","4"
"AMKGM01","4"
"AMKGF01","4"
"AMKGU01","4"
"ASKGM01","4"
"ASKGF01","4"
"ASKGU01","4"
"HIKGM01","4"
"HIKGF01","4"
"HIKGU01","4"
"BLKGM01","4"
"BLKGF01","4"
"BLKGU01","4"
"WHKGM01","4"
"WHKGF01","4"
"WHKGU01","4"
"G0101","4"
"AM01M01","4"
"AM01F01","4"
"AM01U01","4"
"AS01M01","4"
"AS01F01","4"
"AS01U01","4"
"HI01M01","4"
"HI01F01","4"
"HI01U01","4"
"BL01M01","4"
"BL01F01","4"
"BL01U01","4"
"WH01M01","4"
"WH01F01","4"
"WH01U01","4"
"G0201","4"
"AM02M01","4"
"AM02F01","4"
"AM02U01","4"
"AS02M01","4"
"AS02F01","4"
"AS02U01","4"
"HI02M01","4"
"HI02F01","4"
"HI02U01","4"
"BL02M01","4"
"BL02F01","4"
"BL02U01","4"
"WH02M01","4"
"WH02F01","4"
"WH02U01","4"
"G0301","4"
"AM03M01","4"
"AM03F01","4"
"AM03U01","4"
"AS03M01","4"
"AS03F01","4"
"AS03U01","4"
"HI03M01","4"
"HI03F01","4"
"HI03U01","4"
"BL03M01","4"
"BL03F01","4"
"BL03U01","4"
"WH03M01","4"
"WH03F01","4"
"WH03U01","4"
"G0401","4"
"AM04M01","4"
"AM04F01","4"
"AM04U01","4"
"AS04M01","4"
"AS04F01","4"
"AS04U01","4"
"HI04M01","4"
"HI04F01","4"
"HI04U01","4"
"BL04M01","4"
"BL04F01","4"
"BL04U01","4"
"WH04M01","4"
"WH04F01","4"
"WH04U01","4"
"G0501","4"
"AM05M01","4"
"AM05F01","4"
"AM05U01","4"
"AS05M01","4"
"AS05F01","4"
"AS05U01","4"
"HI05M01","4"
"HI05F01","4"
"HI05U01","4"
"BL05M01","4"
"BL05F01","4"
"BL05U01","4"
"WH05M01","4"
"WH05F01","4"
"WH05U01","4"
"G0601","4"
"AM06M01","4"
"AM06F01","4"
"AM06U01","4"
"AS06M01","4"
"AS06F01","4"
"AS06U01","4"
"HI06M01","4"
"HI06F01","4"
"HI06U01","4"
"BL06M01","4"
"BL06F01","4"
"BL06U01","4"
"WH06M01","4"
"WH06F01","4"
"WH06U01","4"
"G0701","4"
"AM07M01","4"
"AM07F01","4"
"AM07U01","4"
"AS07M01","4"
"AS07F01","4"
"AS07U01","4"
"HI07M01","4"
"HI07F01","4"
"HI07U01","4"
"BL07M01","4"
"BL07F01","4"
"BL07U01","4"
"WH07M01","4"
"WH07F01","4"
"WH07U01","4"
"G0801","4"
"AM08M01","4"
"AM08F01","4"
"AM08U01","4"
"AS08M01","4"
"AS08F01","4"
"AS08U01","4"
"HI08M01","4"
"HI08F01","4"
"HI08U01","4"
"BL08M01","4"
"BL08F01","4"
"BL08U01","4"
"WH08M01","4"
"WH08F01","4"
"WH08U01","4"
"G0901","4"
"AM09M01","4"
"AM09F01","4"
"AM09U01","4"
"AS09M01","4"
"AS09F01","4"
"AS09U01","4"
"HI09M01","4"
"HI09F01","4"
"HI09U01","4"
"BL09M01","4"
"BL09F01","4"
"BL09U01","4"
"WH09M01","4"
"WH09F01","4"
"WH09U01","4"
"G1001","4"
"AM10M01","4"
"AM10F01","4"
"AM10U01","4"
"AS10M01","4"
"AS10F01","4"
"AS10U01","4"
"HI10M01","4"
"HI10F01","4"
"HI10U01","4"
"BL10M01","4"
"BL10F01","4"
"BL10U01","4"
"WH10M01","4"
"WH10F01","4"
"WH10U01","4"
"G1101","4"
"AM11M01","4"
"AM11F01","4"
"AM11U01","4"
"AS11M01","4"
"AS11F01","4"
"AS11U01","4"
"HI11M01","4"
"HI11F01","4"
"HI11U01","4"
"BL11M01","4"
"BL11F01","4"
"BL11U01","4"
"WH11M01","4"
"WH11F01","4"
"WH11U01","4"
"G1201","4"
"AM12M01","4"
"AM12F01","4"
"AM12U01","4"
"AS12M01","4"
"AS12F01","4"
"AS12U01","4"
"HI12M01","4"
"HI12F01","4"
"HI12U01","4"
"BL12M01","4"
"BL12F01","4"
"BL12U01","4"
"WH12M01","4"
"WH12F01","4"
"WH12U01","4"
"UG01","4"
"AMUGM01","4"
"AMUGF01","4"
"AMUGU01","4"
"ASUGM01","4"
"ASUGF01","4"
"ASUGU01","4"
"HIUGM01","4"
"HIUGF01","4"
"HIUGU01","4"
"BLUGM01","4"
"BLUGF01","4"
"BLUGU01","4"
"WHUGM01","4"
"WHUGF01","4"
"WHUGU01","4"
"MEMBER01","4"
"AM01","4"
"AMALM01","4"
"AMALF01","4"
"AMALU01","4"
"ASIAN01","4"
"ASALM01","4"
"ASALF01","4"
"ASALU01","4"
"HISP01","4"
"HIALM01","4"
"HIALF01","4"
"HIALU01","4"
"BLACK01","4"
"BLALM01","4"
"BLALF01","4"
"BLALU01","4"
"WHITE01","4"
"WHALM01","4"
"WHALF01","4"
"WHALU01","4"
"TOTETH01","4"
"PUPTCH01","5*"
"TOTGRD01","4"
"ILOCAL01","1"
"IFTE01","1"
"IGSLO01","1"
"IGSHI01","1"
"ITITLI01","1"
"ISTITL01","1"
"IMAGNE01","1"
"ICHART01","1"
"IFRELC01","1"
"IREDLC01","1"
"ITOTFR01","1"
"IMIGRN01","1"
"IPK01","1"
"IAMPKM01","1"
"IAMPKF01","1"
"IAMPKU01","1"
"IASPKM01","1"
"IASPKF01","1"
"IASPKU01","1"
"IHIPKM01","1"
"IHIPKF01","1"
"IHIPKU01","1"
"IBLPKM01","1"
"IBLPKF01","1"
"IBLPKU01","1"
"IWHPKM01","1"
"IWHPKF01","1"
"IWHPKU01","1"
"IKG01","1"
"IAMKGM01","1"
"IAMKGF01","1"
"IAMKGU01","1"
"IASKGM01","1"
"IASKGF01","1"
"IASKGU01","1"
"IHIKGM01","1"
"IHIKGF01","1"
"IHIKGU01","1"
"IBLKGM01","1"
"IBLKGF01","1"
"IBLKGU01","1"
"IWHKGM01","1"
"IWHKGF01","1"
"IWHKGU01","1"
"IG0101","1"
"IAM01M01","1"
"IAM01F01","1"
"IAM01U01","1"
"IAS01M01","1"
"IAS01F01","1"
"IAS01U01","1"
"IHI01M01","1"
"IHI01F01","1"
"IHI01U01","1"
"IBL01M01","1"
"IBL01F01","1"
"IBL01U01","1"
"IWH01M01","1"
"IWH01F01","1"
"IWH01U01","1"
"IG0201","1"
"IAM02M01","1"
"IAM02F01","1"
"IAM02U01","1"
"IAS02M01","1"
"IAS02F01","1"
"IAS02U01","1"
"IHI02M01","1"
"IHI02F01","1"
"IHI02U01","1"
"IBL02M01","1"
"IBL02F01","1"
"IBL02U01","1"
"IWH02M01","1"
"IWH02F01","1"
"IWH02U01","1"
"IG0301","1"
"IAM03M01","1"
"IAM03F01","1"
"IAM03U01","1"
"IAS03M01","1"
"IAS03F01","1"
"IAS03U01","1"
"IHI03M01","1"
"IHI03F01","1"
"IHI03U01","1"
"IBL03M01","1"
"IBL03F01","1"
"IBL03U01","1"
"IWH03M01","1"
"IWH03F01","1"
"IWH03U01","1"
"IG0401","1"
"IAM04M01","1"
"IAM04F01","1"
"IAM04U01","1"
"IAS04M01","1"
"IAS04F01","1"
"IAS04U01","1"
"IHI04M01","1"
"IHI04F01","1"
"IHI04U01","1"
"IBL04M01","1"
"IBL04F01","1"
"IBL04U01","1"
"IWH04M01","1"
"IWH04F01","1"
"IWH04U01","1"
"IG0501","1"
"IAM05M01","1"
"IAM05F01","1"
"IAM05U01","1"
"IAS05M01","1"
"IAS05F01","1"
"IAS05U01","1"
"IHI05M01","1"
"IHI05F01","1"
"IHI05U01","1"
"IBL05M01","1"
"IBL05F01","1"
"IBL05U01","1"
"IWH05M01","1"
"IWH05F01","1"
"IWH05U01","1"
"IG0601","1"
"IAM06M01","1"
"IAM06F01","1"
"IAM06U01","1"
"IAS06M01","1"
"IAS06F01","1"
"IAS06U01","1"
"IHI06M01","1"
"IHI06F01","1"
"IHI06U01","1"
"IBL06M01","1"
"IBL06F01","1"
"IBL06U01","1"
"IWH06M01","1"
"IWH06F01","1"
"IWH06U01","1"
"IG0701","1"
"IAM07M01","1"
"IAM07F01","1"
"IAM07U01","1"
"IAS07M01","1"
"IAS07F01","1"
"IAS07U01","1"
"IHI07M01","1"
"IHI07F01","1"
"IHI07U01","1"
"IBL07M01","1"
"IBL07F01","1"
"IBL07U01","1"
"IWH07M01","1"
"IWH07F01","1"
"IWH07U01","1"
"IG0801","1"
"IAM08M01","1"
"IAM08F01","1"
"IAM08U01","1"
"IAS08M01","1"
"IAS08F01","1"
"IAS08U01","1"
"IHI08M01","1"
"IHI08F01","1"
"IHI08U01","1"
"IBL08M01","1"
"IBL08F01","1"
"IBL08U01","1"
"IWH08M01","1"
"IWH08F01","1"
"IWH08U01","1"
"IG0901","1"
"IAM09M01","1"
"IAM09F01","1"
"IAM09U01","1"
"IAS09M01","1"
"IAS09F01","1"
"IAS09U01","1"
"IHI09M01","1"
"IHI09F01","1"
"IHI09U01","1"
"IBL09M01","1"
"IBL09F01","1"
"IBL09U01","1"
"IWH09M01","1"
"IWH09F01","1"
"IWH09U01","1"
"IG1001","1"
"IAM10M01","1"
"IAM10F01","1"
"IAM10U01","1"
"IAS10M01","1"
"IAS10F01","1"
"IAS10U01","1"
"IHI10M01","1"
"IHI10F01","1"
"IHI10U01","1"
"IBL10M01","1"
"IBL10F01","1"
"IBL10U01","1"
"IWH10M01","1"
"IWH10F01","1"
"IWH10U01","1"
"IG1101","1"
"IAM11M01","1"
"IAM11F01","1"
"IAM11U01","1"
"IAS11M01","1"
"IAS11F01","1"
"IAS11U01","1"
"IHI11M01","1"
"IHI11F01","1"
"IHI11U01","1"
"IBL11M01","1"
"IBL11F01","1"
"IBL11U01","1"
"IWH11M01","1"
"IWH11F01","1"
"IWH11U01","1"
"IG1201","1"
"IAM12M01","1"
"IAM12F01","1"
"IAM12U01","1"
"IAS12M01","1"
"IAS12F01","1"
"IAS12U01","1"
"IHI12M01","1"
"IHI12F01","1"
"IHI12U01","1"
"IBL12M01","1"
"IBL12F01","1"
"IBL12U01","1"
"IWH12M01","1"
"IWH12F01","1"
"IWH12U01","1"
"IUG01","1"
"IAMUGM01","1"
"IAMUGF01","1"
"IAMUGU01","1"
"IASUGM01","1"
"IASUGF01","1"
"IASUGU01","1"
"IHIUGM01","1"
"IHIUGF01","1"
"IHIUGU01","1"
"IBLUGM01","1"
"IBLUGF01","1"
"IBLUGU01","1"
"IWHUGM01","1"
"IWHUGF01","1"
"IWHUGU01","1"
"IMEMB01","1"
"IAM01","1"
"IAMALM01","1"
"IAMALF01","1"
"IAMALU01","1"
"IASIAN01","1"
"IASALM01","1"
"IASALF01","1"
"IASALU01","1"
"IHISP01","1"
"IHIALM01","1"
"IHIALF01","1"
"IHIALU01","1"
"IBLACK01","1"
"IBLALM01","1"
"IBLALF01","1"
"IBLALU01","1"
"IWHITE01","1"
"IWHALM01","1"
"IWHALF01","1"
"IWHALU01","1"
"IETH01","1"
"IPUTCH01","1"
"ITOTGR01","1"
