"variable name","field length"
"NCESSCH","12"
"STID03","14"
"SEASCH03","20"
"LEANM03","60"
"SCHNAM03","50"
"PHONE03","10"
"MSTREE03","30"
"MCITY03","30"
"MSTATE03","2"
"MZIP03","5"
"MZIP403","4"
"LSTREE03","30"
"LCITY03","30"
"LSTATE03","2"
"LZIP03","5"
"LZIP403","4"
"TYPE03","1"
"STATUS03","1"
"LOCALE03","1"
"					    1 =","rincipal"
"				","City: A"
"					    3 =","a Large"
"					    4 =","a Mid-s"
"					    5 =","incorpor"
"					    6 =","incorpor"
"					    7 =","CBSA: An"
"					    8 =","BSA: Any"
"INOUT03","1"
"LATCOD03","10"
"LONCOD03","10"
"CONUM03","5"
"CONAME03","30"
"FTE03","5*"
"GSLO03","2"
"GSHI03","2"
"LEVEL03","1"
"TITLEI03","1"
"STITLI03","1"
"MAGNET03","1"
"CHARTR03","1"
"FRELCH03","4"
"REDLCH03","4"
"TOTFRL03","4"
"MIGRNT03","4"
"PK03","4"
"AMPKM03","4"
"AMPKF03","4"
"AMPKU03","4"
"ASPKM03","4"
"ASPKF03","4"
"ASPKU03","4"
"HIPKM03","4"
"HIPKF03","4"
"HIPKU03","4"
"BLPKM03","4"
"BLPKF03","4"
"BLPKU03","4"
"WHPKM03","4"
"WHPKF03","4"
"WHPKU03","4"
"KG03","4"
"AMKGM03","4"
"AMKGF03","4"
"AMKGU03","4"
"ASKGM03","4"
"ASKGF03","4"
"ASKGU03","4"
"HIKGM03","4"
"HIKGF03","4"
"HIKGU03","4"
"BLKGM03","4"
"BLKGF03","4"
"BLKGU03","4"
"WHKGM03","4"
"WHKGF03","4"
"WHKGU03","4"
"G0103","4"
"AM01M03","4"
"AM01F03","4"
"AM01U03","4"
"AS01M03","4"
"AS01F03","4"
"AS01U03","4"
"HI01M03","4"
"HI01F03","4"
"HI01U03","4"
"BL01M03","4"
"BL01F03","4"
"BL01U03","4"
"WH01M03","4"
"WH01F03","4"
"WH01U03","4"
"G0203","4"
"AM02M03","4"
"AM02F03","4"
"AM02U03","4"
"AS02M03","4"
"AS02F03","4"
"AS02U03","4"
"HI02M03","4"
"HI02F03","4"
"HI02U03","4"
"BL02M03","4"
"BL02F03","4"
"BL02U03","4"
"WH02M03","4"
"WH02F03","4"
"WH02U03","4"
"G0303","4"
"AM03M03","4"
"AM03F03","4"
"AM03U03","4"
"AS03M03","4"
"AS03F03","4"
"AS03U03","4"
"HI03M03","4"
"HI03F03","4"
"HI03U03","4"
"BL03M03","4"
"BL03F03","4"
"BL03U03","4"
"WH03M03","4"
"WH03F03","4"
"WH03U03","4"
"G0403","4"
"AM04M03","4"
"AM04F03","4"
"AM04U03","4"
"AS04M03","4"
"AS04F03","4"
"AS04U03","4"
"HI04M03","4"
"HI04F03","4"
"HI04U03","4"
"BL04M03","4"
"BL04F03","4"
"BL04U03","4"
"WH04M03","4"
"WH04F03","4"
"WH04U03","4"
"G0503","4"
"AM05M03","4"
"AM05F03","4"
"AM05U03","4"
"AS05M03","4"
"AS05F03","4"
"AS05U03","4"
"HI05M03","4"
"HI05F03","4"
"HI05U03","4"
"BL05M03","4"
"BL05F03","4"
"BL05U03","4"
"WH05M03","4"
"WH05F03","4"
"WH05U03","4"
"G0603","4"
"AM06M03","4"
"AM06F03","4"
"AM06U03","4"
"AS06M03","4"
"AS06F03","4"
"AS06U03","4"
"HI06M03","4"
"HI06F03","4"
"HI06U03","4"
"BL06M03","4"
"BL06F03","4"
"BL06U03","4"
"WH06M03","4"
"WH06F03","4"
"WH06U03","4"
"G0703","4"
"AM07M03","4"
"AM07F03","4"
"AM07U03","4"
"AS07M03","4"
"AS07F03","4"
"AS07U03","4"
"HI07M03","4"
"HI07F03","4"
"HI07U03","4"
"BL07M03","4"
"BL07F03","4"
"BL07U03","4"
"WH07M03","4"
"WH07F03","4"
"WH07U03","4"
"G0803","4"
"AM08M03","4"
"AM08F03","4"
"AM08U03","4"
"AS08M03","4"
"AS08F03","4"
"AS08U03","4"
"HI08M03","4"
"HI08F03","4"
"HI08U03","4"
"BL08M03","4"
"BL08F03","4"
"BL08U03","4"
"WH08M03","4"
"WH08F03","4"
"WH08U03","4"
"G0903","4"
"AM09M03","4"
"AM09F03","4"
"AM09U03","4"
"AS09M03","4"
"AS09F03","4"
"AS09U03","4"
"HI09M03","4"
"HI09F03","4"
"HI09U03","4"
"BL09M03","4"
"BL09F03","4"
"BL09U03","4"
"WH09M03","4"
"WH09F03","4"
"WH09U03","4"
"G1003","4"
"AM10M03","4"
"AM10F03","4"
"AM10U03","4"
"AS10M03","4"
"AS10F03","4"
"AS10U03","4"
"HI10M03","4"
"HI10F03","4"
"HI10U03","4"
"BL10M03","4"
"BL10F03","4"
"BL10U03","4"
"WH10M03","4"
"WH10F03","4"
"WH10U03","4"
"G1103","4"
"AM11M03","4"
"AM11F03","4"
"AM11U03","4"
"AS11M03","4"
"AS11F03","4"
"AS11U03","4"
"HI11M03","4"
"HI11F03","4"
"HI11U03","4"
"BL11M03","4"
"BL11F03","4"
"BL11U03","4"
"WH11M03","4"
"WH11F03","4"
"WH11U03","4"
"G1203","4"
"AM12M03","4"
"AM12F03","4"
"AM12U03","4"
"AS12M03","4"
"AS12F03","4"
"AS12U03","4"
"HI12M03","4"
"HI12F03","4"
"HI12U03","4"
"BL12M03","4"
"BL12F03","4"
"BL12U03","4"
"WH12M03","4"
"WH12F03","4"
"WH12U03","4"
"UG03","4"
"AMUGM03","4"
"AMUGF03","4"
"AMUGU03","4"
"ASUGM03","4"
"ASUGF03","4"
"ASUGU03","4"
"HIUGM03","4"
"HIUGF03","4"
"HIUGU03","4"
"BLUGM03","4"
"BLUGF03","4"
"BLUGU03","4"
"WHUGM03","4"
"WHUGF03","4"
"WHUGU03","4"
"MEMBER03","4"
"AM03","4"
"AMALM03","4"
"AMALF03","4"
"AMALU03","4"
"ASIAN03","4"
"ASALM03","4"
"ASALF03","4"
"ASALU03","4"
"HISP03","4"
"HIALM03","4"
"HIALF03","4"
"HIALU03","4"
"BLACK03","4"
"BLALM03","4"
"BLALF03","4"
"BLALU03","4"
"WHITE03","4"
"WHALM03","4"
"WHALF03","4"
"WHALU03","4"
"TOTETH03","4"
"PUPTCH03","5*"
"TOTGRD03","4"
"ILOCAL03","1"
"IFTE03","1"
"IGSLO03","1"
"IGSHI03    1","A"
"ITITLI03","1"
"ISTITL03","1"
"IMAGNE03","1"
"ICHART03","1"
"IFRELC03","1"
"IREDLC03","1"
"ITOTFR03","1"
"IMIGRN03","1"
"IPK03","1"
"IAMPKM03","1"
"IAMPKF03","1"
"IAMPKU03","1"
"IASPKM03","1"
"IASPKF03","1"
"IASPKU03","1"
"IHIPKM03","1"
"IHIPKF03","1"
"IHIPKU03","1"
"IBLPKM03","1"
"IBLPKF03","1"
"IBLPKU03","1"
"IWHPKM03","1"
"IWHPKF03","1"
"IWHPKU03","1"
"IKG03","1"
"IAMKGM03","1"
"IAMKGF03","1"
"IAMKGU03","1"
"IASKGM03","1"
"IASKGF03","1"
"IASKGU03","1"
"IHIKGM03","1"
"IHIKGF03","1"
"IHIKGU03","1"
"IBLKGM03","1"
"IBLKGF03","1"
"IBLKGU03","1"
"IWHKGM03","1"
"IWHKGF03","1"
"IWHKGU03","1"
"IG0103","1"
"IAM01M03","1"
"IAM01F03","1"
"IAM01U03","1"
"IAS01M03","1"
"IAS01F03","1"
"IAS01U03","1"
"IHI01M03","1"
"IHI01F03","1"
"IHI01U03","1"
"IBL01M03","1"
"IBL01F03","1"
"IBL01U03","1"
"IWH01M03","1"
"IWH01F03","1"
"IWH01U03","1"
"IG0203","1"
"IAM02M03","1"
"IAM02F03","1"
"IAM02U03","1"
"IAS02M03","1"
"IAS02F03","1"
"IAS02U03","1"
"IHI02M03","1"
"IHI02F03","1"
"IHI02U03","1"
"IBL02M03","1"
"IBL02F03","1"
"IBL02U03","1"
"IWH02M03","1"
"IWH02F03","1"
"IWH02U03","1"
"IG0303","1"
"IAM03M03","1"
"IAM03F03","1"
"IAM03U03","1"
"IAS03M03","1"
"IAS03F03","1"
"IAS03U03","1"
"IHI03M03","1"
"IHI03F03","1"
"IHI03U03","1"
"IBL03M03","1"
"IBL03F03","1"
"IBL03U03","1"
"IWH03M03","1"
"IWH03F03","1"
"IWH03U03","1"
"IG0403","1"
"IAM04M03","1"
"IAM04F03","1"
"IAM04U03","1"
"IAS04M03","1"
"IAS04F03","1"
"IAS04U03","1"
"IHI04M03","1"
"IHI04F03","1"
"IHI04U03","1"
"IBL04M03","1"
"IBL04F03","1"
"IBL04U03","1"
"IWH04M03","1"
"IWH04F03","1"
"IWH04U03","1"
"IG0503","1"
"IAM05M03","1"
"IAM05F03","1"
"IAM05U03","1"
"IAS05M03","1"
"IAS05F03","1"
"IAS05U03","1"
"IHI05M03","1"
"IHI05F03","1"
"IHI05U03","1"
"IBL05M03","1"
"IBL05F03","1"
"IBL05U03","1"
"IWH05M03","1"
"IWH05F03","1"
"IWH05U03","1"
"IG0603","1"
"IAM06M03","1"
"IAM06F03","1"
"IAM06U03","1"
