"variable name","field length"
"NCESSCH","12"
"STID04","14"
"SEASCH04","20"
"LEANM04","60"
"SCHNAM04","50"
"PHONE04","10"
"MSTREE04","30"
"MCITY04","30"
"MSTATE04","2"
"MZIP04","5"
"MZIP404","4"
"LSTREE04","30"
"LCITY04","30"
"LSTATE04","2"
"LZIP04","5"
"LZIP404","4"
"TYPE04","1"
"STATUS04","1"
"LOCALE04","1"
"INOUT04","1"
"LATCOD04","10"
"LONCOD04","10"
"CONUM04","5"
"CONAME04","30"
"FTE04","5*"
"GSLO04","2"
"GSHI04","2"
"LEVEL04","1"
"TITLEI04","1"
"STITLI04","1"
"MAGNET04","1"
"CHARTR04","1"
"SHARED04","1"
"FRELCH04","4"
"REDLCH04","4"
"TOTFRL04","4"
"MIGRNT04","4"
"PK04","4"
"AMPKM04","4"
"AMPKF04","4"
"AMPKU04","4"
"ASPKM04","4"
"ASPKF04","4"
"ASPKU04","4"
"HIPKM04","4"
"HIPKF04","4"
"HIPKU04","4"
"BLPKM04","4"
"BLPKF04","4"
"BLPKU04","4"
"WHPKM04","4"
"WHPKF04","4"
"WHPKU04","4"
"KG04","4"
"AMKGM04","4"
"AMKGF04","4"
"AMKGU04","4"
"ASKGM04","4"
"ASKGF04","4"
"ASKGU04","4"
"HIKGM04","4"
"HIKGF04","4"
"HIKGU04","4"
"BLKGM04","4"
"BLKGF04","4"
"BLKGU04","4"
"WHKGM04","4"
"WHKGF04","4"
"WHKGU04","4"
"G0104","4"
"AM01M04","4"
"AM01F04","4"
"AM01U04","4"
"AS01M04","4"
"AS01F04","4"
"AS01U04","4"
"HI01M04","4"
"HI01F04","4"
"HI01U04","4"
"BL01M04","4"
"BL01F04","4"
"BL01U04","4"
"WH01M04","4"
"WH01F04","4"
"WH01U04","4"
"G0204","4"
"AM02M04","4"
"AM02F04","4"
"AM02U04","4"
"AS02M04","4"
"AS02F04","4"
"AS02U04","4"
"HI02M04","4"
"HI02F04","4"
"HI02U04","4"
"BL02M04","4"
"BL02F04","4"
"BL02U04","4"
"WH02M04","4"
"WH02F04","4"
"WH02U04","4"
"G0304","4"
"AM03M04","4"
"AM03F04","4"
"AM03U04","4"
"AS03M04","4"
"AS03F04","4"
"AS03U04","4"
"HI03M04","4"
"HI03F04","4"
"HI03U04","4"
"BL03M04","4"
"BL03F04","4"
"BL03U04","4"
"WH03M04","4"
"WH03F04","4"
"WH03U04","4"
"G0404","4"
"AM04M04","4"
"AM04F04","4"
"AM04U04","4"
"AS04M04","4"
"AS04F04","4"
"AS04U04","4"
"HI04M04","4"
"HI04F04","4"
"HI04U04","4"
"BL04M04","4"
"BL04F04","4"
"BL04U04","4"
"WH04M04","4"
"WH04F04","4"
"WH04U04","4"
"G0504","4"
"AM05M04","4"
"AM05F04","4"
"AM05U04","4"
"AS05M04","4"
"AS05F04","4"
"AS05U04","4"
"HI05M04","4"
"HI05F04","4"
"HI05U04","4"
"BL05M04","4"
"BL05F04","4"
"BL05U04","4"
"WH05M04","4"
"WH05F04","4"
"WH05U04","4"
"G0604","4"
"AM06M04","4"
"AM06F04","4"
"AM06U04","4"
"AS06M04","4"
"AS06F04","4"
"AS06U04","4"
"HI06M04","4"
"HI06F04","4"
"HI06U04","4"
"BL06M04","4"
"BL06F04","4"
"BL06U04","4"
"WH06M04","4"
"WH06F04","4"
"WH06U04","4"
"G0704","4"
"AM07M04","4"
"AM07F04","4"
"AM07U04","4"
"AS07M04","4"
"AS07F04","4"
"AS07U04","4"
"HI07M04","4"
"HI07F04","4"
"HI07U04","4"
"BL07M04","4"
"BL07F04","4"
"BL07U04","4"
"WH07M04","4"
"WH07F04","4"
"WH07U04","4"
"G0804","4"
"AM08M04","4"
"AM08F04","4"
"AM08U04","4"
"AS08M04","4"
"AS08F04","4"
"AS08U04","4"
"HI08M04","4"
"HI08F04","4"
"HI08U04","4"
"BL08M04","4"
"BL08F04","4"
"BL08U04","4"
"WH08M04","4"
"WH08F04","4"
"WH08U04","4"
"G0904","4"
"AM09M04","4"
"AM09F04","4"
"AM09U04","4"
"AS09M04","4"
"AS09F04","4"
"AS09U04","4"
"HI09M04","4"
"HI09F04","4"
"HI09U04","4"
"BL09M04","4"
"BL09F04","4"
"BL09U04","4"
"WH09M04","4"
"WH09F04","4"
"WH09U04","4"
"G1004","4"
"AM10M04","4"
"AM10F04","4"
"AM10U04","4"
"AS10M04","4"
"AS10F04","4"
"AS10U04","4"
"HI10M04","4"
"HI10F04","4"
"HI10U04","4"
"BL10M04","4"
"BL10F04","4"
"BL10U04","4"
"WH10M04","4"
"WH10F04","4"
"WH10U04","4"
"G1104","4"
"AM11M04","4"
"AM11F04","4"
"AM11U04","4"
"AS11M04","4"
"AS11F04","4"
"AS11U04","4"
"HI11M04","4"
"HI11F04","4"
"HI11U04","4"
"BL11M04","4"
"BL11F04","4"
"BL11U04","4"
"WH11M04","4"
"WH11F04","4"
"WH11U04","4"
"G1204","4"
"AM12M04","4"
"AM12F04","4"
"AM12U04","4"
"AS12M04","4"
"AS12F04","4"
"AS12U04","4"
"HI12M04","4"
"HI12F04","4"
"HI12U04","4"
"BL12M04","4"
"BL12F04","4"
"BL12U04","4"
"WH12M04","4"
"WH12F04","4"
"WH12U04","4"
"UG04","4"
"AMUGM04","4"
"AMUGF04","4"
"AMUGU04","4"
"ASUGM04","4"
"ASUGF04","4"
"ASUGU04","4"
"HIUGM04","4"
"HIUGF04","4"
"HIUGU04","4"
"BLUGM04","4"
"BLUGF04","4"
"BLUGU04","4"
"WHUGM04","4"
"WHUGF04","4"
"WHUGU04","4"
"MEMBER04","4"
"AM04","4"
"AMALM04","4"
"AMALF04","4"
"AMALU04","4"
"ASIAN04","4"
"ASALM04","4"
"ASALF04","4"
"ASALU04","4"
"HISP04","4"
"HIALM04","4"
"HIALF04","4"
"HIALU04","4"
"BLACK04","4"
"BLALM04","4"
"BLALF04","4"
"BLALU04","4"
"WHITE04","4"
"WHALM04","4"
"WHALF04","4"
"WHALU04","4"
"TOTETH04","4"
"PUPTCH04","6*"
"TOTGRD04","4"
"ILOCAL04","1"
"IFTE04","1"
"IGSLO04","1"
"IGSHI04","1"
"ITITLI04","1"
"ISTITL04","1"
"IMAGNE04","1"
"ICHART04","1"
"ISHARE04","1"
"IFRELC04","1"
"IREDLC04","1"
"ITOTFR04","1"
"IMIGRN04","1"
"IPK04","1"
"IAMPKM04","1"
"IAMPKF04","1"
"IAMPKU04","1"
"IASPKM04","1"
"IASPKF04","1"
"IASPKU04","1"
"IHIPKM04","1"
"IHIPKF04","1"
"IHIPKU04","1"
"IBLPKM04","1"
"IBLPKF04","1"
"IBLPKU04","1"
"IWHPKM04","1"
"IWHPKF04","1"
"IWHPKU04","1"
"IKG04","1"
"IAMKGM04","1"
"IAMKGF04","1"
"IAMKGU04","1"
"IASKGM04","1"
"IASKGF04","1"
"IASKGU04","1"
"IHIKGM04","1"
"IHIKGF04","1"
"IHIKGU04","1"
"IBLKGM04","1"
"IBLKGF04","1"
"IBLKGU04","1"
"IWHKGM04","1"
"IWHKGF04","1"
"IWHKGU04","1"
"IG0104","1"
"IAM01M04","1"
"IAM01F04","1"
"IAM01U04","1"
"IAS01M04","1"
"IAS01F04","1"
"IAS01U04","1"
"IHI01M04","1"
"IHI01F04","1"
"IHI01U04","1"
"IBL01M04","1"
"IBL01F04","1"
"IBL01U04","1"
"IWH01M04","1"
"IWH01F04","1"
"IWH01U04","1"
"IG0204","1"
"IAM02M04","1"
"IAM02F04","1"
"IAM02U04","1"
"IAS02M04","1"
"IAS02F04","1"
"IAS02U04","1"
"IHI02M04","1"
"IHI02F04","1"
"IHI02U04","1"
"IBL02M04","1"
"IBL02F04","1"
"IBL02U04","1"
"IWH02M04","1"
"IWH02F04","1"
"IWH02U04","1"
"IG0304","1"
"IAM03M04","1"
"IAM03F04","1"
"IAM03U04","1"
"IAS03M04","1"
"IAS03F04","1"
"IAS03U04","1"
"IHI03M04","1"
"IHI03F04","1"
"IHI03U04","1"
"IBL03M04","1"
"IBL03F04","1"
"IBL03U04","1"
"IWH03M04","1"
"IWH03F04","1"
"IWH03U04","1"
"IG0404","1"
"IAM04M04","1"
"IAM04F04","1"
"IAM04U04","1"
"IAS04M04","1"
"IAS04F04","1"
"IAS04U04","1"
"IHI04M04","1"
"IHI04F04","1"
"IHI04U04","1"
"IBL04M04","1"
"IBL04F04","1"
"IBL04U04","1"
"IWH04M04","1"
"IWH04F04","1"
"IWH04U04","1"
"IG0504","1"
"IAM05M04","1"
"IAM05F04","1"
"IAM05U04","1"
"IAS05M04","1"
"IAS05F04","1"
"IAS05U04","1"
"IHI05M04","1"
"IHI05F04","1"
"IHI05U04","1"
"IBL05M04","1"
"IBL05F04","1"
"IBL05U04","1"
"IWH05M04","1"
"IWH05F04","1"
"IWH05U04","1"
"IG0604","1"
"IAM06M04","1"
"IAM06F04","1"
"IAM06U04","1"
"IAS06M04","1"
"IAS06F04","1"
"IAS06U04","1"
"IHI06M04","1"
"IHI06F04","1"
"IHI06U04","1"
"IBL06M04","1"
"IBL06F04","1"
"IBL06U04","1"
"IWH06M04","1"
"IWH06F04","1"
"IWH06U04","1"
"IG0704","1"
"IAM07M04","1"
"IAM07F04","1"
"IAM07U04","1"
"IAS07M04","1"
"IAS07F04","1"
"IAS07U04","1"
"IHI07M04","1"
"IHI07F04","1"
"IHI07U04","1"
"IBL07M04","1"
"IBL07F04","1"
"IBL07U04","1"
"IWH07M04","1"
"IWH07F04","1"
"IWH07U04","1"
"IG0804","1"
"IAM08M04","1"
"IAM08F04","1"
"IAM08U04","1"
"IAS08M04","1"
"IAS08F04","1"
"IAS08U04","1"
"IHI08M04","1"
"IHI08F04","1"
"IHI08U04","1"
"IBL08M04","1"
"IBL08F04","1"
"IBL08U04","1"
"IWH08M04","1"
"IWH08F04","1"
"IWH08U04","1"
"IG0904","1"
"IAM09M04","1"
"IAM09F04","1"
"IAM09U04","1"
"IAS09M04","1"
"IAS09F04","1"
"IAS09U04","1"
"IHI09M04","1"
"IHI09F04","1"
"IHI09U04","1"
"IBL09M04","1"
"IBL09F04","1"
"IBL09U04","1"
"IWH09M04","1"
"IWH09F04","1"
"IWH09U04","1"
"IG1004","1"
"IAM10M04","1"
"IAM10F04","1"
"IAM10U04","1"
"IAS10M04","1"
"IAS10F04","1"
"IAS10U04","1"
"IHI10M04","1"
"IHI10F04","1"
"IHI10U04","1"
"IBL10M04","1"
"IBL10F04","1"
"IBL10U04","1"
"IWH10M04","1"
"IWH10F04","1"
"IWH10U04","1"
"IG1104","1"
"IAM11M04","1"
"IAM11F04","1"
"IAM11U04","1"
"IAS11M04","1"
"IAS11F04","1"
"IAS11U04","1"
"IHI11M04","1"
"IHI11F04","1"
"IHI11U04","1"
"IBL11M04","1"
"IBL11F04","1"
"IBL11U04","1"
"IWH11M04","1"
"IWH11F04","1"
"IWH11U04","1"
"IG1204","1"
"IAM12M04","1"
"IAM12F04","1"
"IAM12U04","1"
"IAS12M04","1"
"IAS12F04","1"
"IAS12U04","1"
"IHI12M04","1"
"IHI12F04","1"
"IHI12U04","1"
"IBL12M04","1"
"IBL12F04","1"
"IBL12U04","1"
"IWH12M04","1"
"IWH12F04","1"
"IWH12U04","1"
"IUG04","1"
"IAMUGM04","1"
"IAMUGF04","1"
"IAMUGU04","1"
"IASUGM04","1"
"IASUGF04","1"
"IASUGU04","1"
"IHIUGM04","1"
"IHIUGF04","1"
"IHIUGU04","1"
"IBLUGM04","1"
"IBLUGF04","1"
"IBLUGU04","1"
"IWHUGM04","1"
"IWHUGF04","1"
"IWHUGU04","1"
"IMEMB04","1"
"IAM04","1"
"IAMALM04","1"
"IAMALF04","1"
"IAMALU04","1"
"IASIAN04","1"
"IASALM04","1"
"IASALF04","1"
"IASALU04","1"
"IHISP04","1"
"IHIALM04","1"
"IHIALF04","1"
"IHIALU04","1"
"IBLACK04","1"
"IBLALM04","1"
"IBLALF04","1"
"IBLALU04","1"
"IWHITE04","1"
"IWHALM04","1"
"IWHALF04","1"
"IWHALU04","1"
"IETH04","1"
"IPUTCH04","1"
"ITOTGR04","1"
