variable name,field length
"NCESSCH	","12	"
"STID05	","14	"
SEASCH05,"20	"
"LEANM05	","60	"
SCHNAM05,"50	"
"PHONE05	","10	"
MSTREE05,"30	"
"MCITY05	","30	"
MSTATE05,"2	"
"MZIP05	","5	"
"MZIP405	","4	"
LSTREE05,"30	"
"LCITY05	","30	"
LSTATE05,"2	"
"LZIP05	","5	"
"LZIP405	","4	"
"TYPE05	","1	"
STATUS05,"1	"
LOCALE05,"1	"
"INOUT05	","1	"
LATCOD05,"10	"
LONCOD05,"10	"
"CONUM05	","5	"
CONAME05,"30	"
"FTE05	","5*	"
"GSLO05	","2	"
"GSHI05	","2	"
"LEVEL05	","1	"
TITLEI05,"1	"
STITLI05,"1	"
MAGNET05,"1	"
CHARTR05,"1	"
SHARED05,"1	"
FRELCH05,"4	"
REDLCH05,"4	"
TOTFRL05,"4	"
MIGRNT05,"4	"
"PK05	","4	    N	"
"AMPKM05	","4	"
"AMPKF05	","4	"
"AMPKU05	","4	"
"ASPKM05	","4	"
"ASPKF05	","4	"
"ASPKU05	","4	"
"HIPKM05	","4	"
"HIPKF05	","4	"
"HIPKU05	","4	"
"BLPKM05	","4	"
"BLPKF05	","4	"
"BLPKU05	","4	"
"WHPKM05	","4	"
"WHPKF05	","4	"
"WHPKU05	","4	"
"KG05	","4	    N	"
"AMKGM05	","4	"
"AMKGF05	","4	"
"AMKGU05	","4	"
"ASKGM05	","4	"
"ASKGF05	","4	"
"ASKGU05	","4	"
"HIKGM05	","4	"
"HIKGF05	","4	"
"HIKGU05	","4	"
"BLKGM05	","4	"
"BLKGF05	","4	"
"BLKGU05	","4	"
"WHKGM05	","4	"
"WHKGF05	","4	"
"WHKGU05	","4	"
"G0105	","4	    N"
"AM01M05	","4	"
"AM01F05	","4	"
"AM01U05	","4	"
"AS01M05	","4	"
"AS01F05	","4	"
"AS01U05	","4	"
"HI01M05	","4	"
"HI01F05	","4	"
"HI01U05	","4	"
"BL01M05	","4	"
"BL01F05	","4	"
"BL01U05	","4	"
"WH01M05	","4	"
"WH01F05	","4	"
"WH01U05	","4	"
"G0205	","4	    N"
"AM02M05	","4	"
"AM02F05	","4	"
"AM02U05	","4	"
"AS02M05	","4	"
"AS02F05	","4	"
AS02U05,"4	"
"HI02M05	","4	"
"HI02F05	","4	"
"HI02U05	","4	"
"BL02M05	","4	"
"BL02F05	","4	"
"BL02U05	","4	"
"WH02M05	","4	"
"WH02F05	","4	"
"WH02U05	","4	"
"G0305	","4	    N"
"AM03M05	","4	"
"AM03F05	","4	"
"AM03U05	","4	"
"AS03M05	","4	"
"AS03F05	","4	"
"AS03U05	","4	"
"HI03M05	","4	"
"HI03F05	","4	"
"HI03U05	","4	"
"BL03M05	","4	"
"BL03F05	","4	"
"BL03U05	","4	"
"WH03M05	","4	"
"WH03F05	","4	"
"WH03U05	","4	"
"G0405	","4	    N"
"AM04M05	","4	"
"AM04F05	","4	"
"AM04U05	","4	"
"AS04M05	","4	"
"AS04F05	","4	"
"AS04U05	","4	"
"HI04M05	","4	"
"HI04F05	","4	"
"HI04U05	","4	"
"BL04M05	","4	"
"BL04F05	","4	"
"BL04U05	","4	"
"WH04M05	","4	"
"WH04F05	","4	"
"WH04U05	","4	"
"G0505	","4	    N"
"AM05M05	","4	"
"AM05F05	","4	"
"AM05U05	","4	"
"AS05M05	","4	"
"AS05F05	","4	"
"AS05U05	","4	"
"HI05M05	","4	"
"HI05F05	","4	"
"HI05U05	","4	"
"BL05M05	","4	"
"BL05F05	","4	"
"BL05U05	","4	"
"WH05M05	","4	"
"WH05F05	","4	"
"WH05U05	","4	"
"G0605	","4	    N"
"AM06M05	","4	"
"AM06F05	","4	"
"AM06U05	","4	"
"AS06M05	","4	"
"AS06F05	","4	"
"AS06U05	","4	"
"HI06M05	","4	"
"HI06F05	","4	"
"HI06U05	","4	"
"BL06M05	","4	"
"BL06F05	","4	"
"BL06U05	","4	"
"WH06M05	","4	"
"WH06F05	","4	"
"WH06U05	","4	"
"G0705	","4	    N"
"AM07M05	","4	"
"AM07F05	","4	"
"AM07U05	","4	"
"AS07M05	","4	"
"AS07F05	","4	"
"AS07U05	","4	"
"HI07M05	","4	"
"HI07F05	","4	"
"HI07U05	","4	"
"BL07M05	","4	"
"BL07F05	","4	"
"BL07U05	","4	"
"WH07M05	","4	"
"WH07F05	","4	"
"WH07U05	","4	"
"G0805	","4	    N"
"AM08M05	","4	"
"AM08F05	","4	"
"AM08U05	","4	"
"AS08M05	","4	"
"AS08F05	","4	"
"AS08U05	","4	"
"HI08M05	","4	"
"HI08F05	","4	"
"HI08U05	","4	"
"BL08M05	","4	"
"BL08F05	","4	"
"BL08U05	","4	"
"WH08M05	","4	"
"WH08F05	","4	"
"WH08U05	","4	"
"G0905	","4	    N"
"AM09M05	","4	"
"AM09F05	","4	"
"AM09U05	","4	"
"AS09M05	","4	"
"AS09F05	","4	"
"AS09U05	","4	"
"HI09M05	","4	"
"HI09F05	","4	"
"HI09U05	","4	"
"BL09M05	","4	"
"BL09F05	","4	"
"BL09U05	","4	"
"WH09M05	","4	"
"WH09F05	","4	"
"WH09U05	","4	"
"G1005	","4	    N"
"AM10M05	","4	"
"AM10F05	","4	"
"AM10U05	","4	"
"AS10M05	","4	"
"AS10F05	","4	"
"AS10U05	","4	"
"HI10M05	","4	"
"HI10F05	","4	"
"HI10U05	","4	"
"BL10M05	","4	"
"BL10F05	","4	"
"BL10U05	","4	"
"WH10M05	","4	"
"WH10F05	","4	"
"WH10U05	","4	"
"G1105	","4	    N"
"AM11M05	","4	"
"AM11F05	","4	"
"AM11U05	","4	"
"AS11M05	","4	"
"AS11F05	","4	"
"AS11U05	","4	"
"HI11M05	","4	"
"HI11F05	","4	"
"HI11U05	","4	"
"BL11M05	","4	"
"BL11F05	","4	"
"BL11U05	","4	"
"WH11M05	","4	"
"WH11F05	","4	"
"WH11U05	","4	"
"G1205	","4	    N"
"AM12M05	","4	"
"AM12F05	","4	"
"AM12U05	","4	"
"AS12M05	","4	"
"AS12F05	","4	"
"AS12U05	","4	"
"HI12M05	","4	"
"HI12F05	","4	"
"HI12U05	","4	"
"BL12M05	","4	"
"BL12F05	","4	"
"BL12U05	","4	"
"WH12M05	","4	"
"WH12F05	","4	"
"WH12U05	","4	"
"UG05	","4	    N	"
"AMUGM05	","4	"
"AMUGF05	","4	"
"AMUGU05	","4	"
"ASUGM05	","4	"
"ASUGF05	","4	"
"ASUGU05	","4	"
"HIUGM05	","4	"
"HIUGF05	","4	"
"HIUGU05	","4	"
"BLUGM05	","4	"
"BLUGF05	","4	"
"BLUGU05	","4	"
"WHUGM05	","4	"
"WHUGF05	","4	"
"WHUGU05	","4	"
MEMBER05,"4	"
"AM05	","4	    N	"
"AMALM05	","4	"
"AMALF05	","4	"
"AMALU05	","4	"
"ASIAN05	","4	"
"ASALM05	","4	"
"ASALF05	","4	"
"ASALU05	","4	"
"HISP05	","4	"
"HIALM05	","4	"
"HIALF05	","4	"
"HIALU05	","4	"
"BLACK05	","4	"
"BLALM05	","4	"
"BLALF05	","4	"
"BLALU05	","4	"
"WHITE05	","4	"
"WHALM05	","4	"
"WHALF05	","4	"
"WHALU05	","4	"
TOTETH05,"4	"
PUPTCH05,"5*	"
TOTGRD05,"4	"
ILOCAL05,"1	"
"IFTE05	","1	"
"IGSLO05	","1	"
"IGSHI05	","1	"
ITITLI05,"1	"
ISTITL05,"1	"
IMAGNE05,"1	"
ICHART05,"1	"
ISHARE05,"1	"
IFRELC05,"1	"
IREDLC05,"1	"
ITOTFR05,"1	"
IMIGRN05,"1	"
"IPK05	","1	    A"
IAMPKM05,"1	"
IAMPKF05,"1	"
IAMPKU05,"1	"
IASPKM05,"1	"
IASPKF05,"1	"
IASPKU05,"1	"
IHIPKM05,"1	"
IHIPKF05,"1	"
IHIPKU05,"1	"
IBLPKM05,"1	"
IBLPKF05,"1	"
IBLPKU05,"1	"
IWHPKM05,"1	"
IWHPKF05,"1	"
IWHPKU05,"1	"
"IKG05	","1	    A"
IAMKGM05,"1	"
IAMKGF05,"1	"
IAMKGU05,"1	"
IASKGM05,"1	"
IASKGF05,"1	"
IASKGU05,"1	"
IHIKGM05,"1	"
IHIKGF05,"1	"
IHIKGU05,"1	"
IBLKGM05,"1	"
IBLKGF05,"1	"
IBLKGU05,"1	"
IWHKGM05,"1	"
IWHKGF05,"1	"
IWHKGU05,"1	"
"IG0105	","1	"
IAM01M05,"1	"
IAM01F05,"1	"
IAM01U05,"1	"
IAS01M05,"1	"
IAS01F05,"1	"
IAS01U05,"1	"
IHI01M05,"1	"
IHI01F05,"1	"
IHI01U05,"1	"
IBL01M05,"1	"
IBL01F05,"1	"
IBL01U05,"1	"
IWH01M05,"1	"
IWH01F05,"1	"
IWH01U05,"1	"
"IG0205	","1	"
IAM02M05,"1	"
IAM02F05,"1	"
IAM02U05,"1	"
IAS02M05,"1	"
IAS02F05,"1	"
IAS02U05,"1	"
IHI02M05,"1	"
IHI02F05,"1	"
IHI02U05,"1	"
IBL02M05,"1	"
IBL02F05,"1	"
IBL02U05,"1	"
IWH02M05,"1	"
IWH02F05,"1	"
IWH02U05,"1	"
"IG0305	","1	"
IAM03M05,"1	"
IAM03F05,"1	"
IAM03U05,"1	"
IAS03M05,"1	"
IAS03F05,"1	"
IAS03U05,"1	"
IHI03M05,"1	"
IHI03F05,"1	"
IHI03U05,"1	"
IBL03M05,"1	"
IBL03F05,"1	"
IBL03U05,"1	"
IWH03M05,"1	"
IWH03F05,"1	"
IWH03U05,"1	"
