"variable name","field length"
"NCESSCH","12"
"STID06","14"
"SEASCH06","20"
"LEANM06","60"
"SCHNAM06","50"
"PHONE06","10"
"MSTREE06","30"
"MCITY06","30"
"MSTATE06","2"
"MZIP06","5"
"MZIP406","4"
"LSTREE06","30"
"LCITY06","30"
"LSTATE06","2"
"LZIP06","5"
"LZIP406","4"
"TYPE06","1"
"STATUS06","1"
"ULOCAL06","2"
"LATCOD06"," 9*"
"LONCOD06","        AN"
"CDCODE06","4"
"CONUM06","5"
"CONAME06","30"
"FTE06","5*"
"GSLO06","2"
"GSHI06","2"
"LEVEL06","1"
"TITLEI06","1"
"STITLI06","1"
"MAGNET06","1"
"CHARTR06","1"
"SHARED06","1"
"FRELCH06","4"
"REDLCH06","4"
"TOTFRL06","4"
"MIGRNT06","4"
"PK06","4"
"AMPKM06","4"
"AMPKF06","4"
"AMPKU06","4"
"ASPKM06","4"
"ASPKF06","4"
"ASPKU06","4"
"HIPKM06","4"
"HIPKF06","4"
"HIPKU06","4"
"BLPKM06","4"
"BLPKF06","4"
"BLPKU06","4"
"WHPKM06","4"
"WHPKF06","4"
"WHPKU06","4"
"KG06","4"
"AMKGM06","4"
"AMKGF06","4"
"AMKGU06","4"
"ASKGM06","4"
"ASKGF06","4"
"ASKGU06","4"
"HIKGM06","4"
"HIKGF06","4"
"HIKGU06","4"
"BLKGM06","4"
"BLKGF06","4"
"BLKGU06","4"
"WHKGM06","4"
"WHKGF06","4"
"WHKGU06","4"
"G0106","4"
"AM01M06","4"
"AM01F06","4"
"AM01U06","4"
"AS01M06","4"
"AS01F06","4"
"AS01U06","4"
"HI01M06","4"
"HI01F06","4"
"HI01U06","4"
"BL01M06","4"
"BL01F06","4"
"BL01U06","4"
"WH01M06","4"
"WH01F06","4"
"WH01U06","4"
"G0206","4"
"AM02M06","4"
"AM02F06","4"
"AM02U06","4"
"AS02M06","4"
"AS02F06  ","4"
"AS02U06  ","4"
"HI02M06  ","4"
"HI02F06  ","4"
"HI02U06  ","4"
"BL02M06 ","4"
"BL02F06 ","4"
"BL02U06 ","4"
"WH02M06 ","4"
"WH02F06 ","4"
"WH02U06 ","4"
"G0306   ","4"
"AM03M06 ","4"
"AM03F06 ","4"
"AM03U06 ","4"
"AS03M06 ","4"
"AS03F06 ","4"
"AS03U06 ","4"
"HI03M06 ","4"
"HI03F06 ","4"
"HI03U06 ","4"
"BL03M06 ","4"
"BL03F06 ","4"
"BL03U06 ","4"
"WH03M06 ","4"
