"Variable","Field"
"NCESSCH","12"
"STID99","14"
"SEASCH99","20"
"LEANM99","60"
"SCHNAM99","50"
"PHONE99","10"
"MSTREE99","30"
"MCITY99","30"
"MSTATE99","2"
"MZIP99","5"
"MZIP499","4"
"LSTREE99","30"
"LCITY99","30"
"LSTATE99","2"
"LZIP99","5"
"LZIP499","4"
"TYPE99","1"
"STATUS99","1"
"LOCALE99","1"
"FTE99","5*"
"GSLO99","2"
"GSHI99","2"
"TITLEI99","1"
"STITLI99","1"
"MAGNET99","1"
"CHARTR99","1"
"FRELCH99","4"
"REDLCH99","4"
"TOTFRL99","4"
"MIGRNT99","4"
"PK99","4"
"AMPKM99","4"
"AMPKF99","4"
"AMPKU99","4"
"ASPKM99","4"
"ASPKF99","4"
"ASPKU99","4"
"HIPKM99","4"
"HIPKF99","4"
"HIPKU99","4"
"BLPKM99","4"
"BLPKF99","4"
"BLPKU99","4"
"WHPKM99","4"
"WHPKF99","4"
"WHPKU99","4"
"KG99","4"
"AMKGM99","4"
"AMKGF99","4"
"AMKGU99","4"
"ASKGM99","4"
"ASKGF99","4"
"ASKGU99","4"
"HIKGM99","4"
"HIKGF99","4"
"HIKGU99","4"
"BLKGM99","4"
"BLKGF99","4"
"BLKGU99","4"
"WHKGM99","4"
"WHKGF99","4"
"WHKGU99","4"
"G0199","4"
"AM01M99","4"
"AM01F99","4"
"AM01U99","4"
"AS01M99","4"
"AS01F99","4"
"AS01U99","4"
"HI01M99","4"
"HI01F99","4"
"HI01U99","4"
"BL01M99","4"
"BL01F99","4"
"BL01U99","4"
"WH01M99","4"
"WH01F99","4"
"WH01U99","4"
"G0299","4"
"AM02M99","4"
"AM02F99","4"
"AM02U99","4"
"AS02M99","4"
"AS02F99","4"
"AS02U99","4"
"HI02M99","4"
"HI02F99","4"
"HI02U99","4"
"BL02M99","4"
"BL02F99","4"
"BL02U99","4"
"WH02M99","4"
"WH02F99","4"
"WH02U99","4"
"G0399","4"
"AM03M99","4"
"AM03F99","4"
"AM03U99","4"
"AS03M99","4"
"AS03F99","4"
"AS03U99","4"
"HI03M99","4"
"HI03F99","4"
"HI03U99","4"
"BL03M99","4"
"BL03F99","4"
"BL03U99","4"
"WH03M99","4"
"WH03F99","4"
"WH03U99","4"
"G0499","4"
"AM04M99","4"
"AM04F99","4"
"AM04U99","4"
"AS04M99","4"
"AS04F99","4"
"AS04U99","4"
"HI04M99","4"
"HI04F99","4"
"HI04U99","4"
"BL04M99","4"
"BL04F99","4"
"BL04U99","4"
"WH04M99","4"
"WH04F99","4"
"WH04U99","4"
"G0599","4"
"AM05M99","4"
"AM05F99","4"
"AM05U99","4"
"AS05M99","4"
"AS05F99","4"
"AS05U99","4"
"HI05M99","4"
"HI05F99","4"
"HI05U99","4"
"BL05M99","4"
"BL05F99","4"
"BL05U99","4"
"WH05M99","4"
"WH05F99","4"
"WH05U99","4"
"G0699","4"
"AM06M99","4"
"AM06F99","4"
"AM06U99","4"
"AS06M99","4"
"AS06F99","4"
"AS06U99","4"
"HI06M99","4"
"HI06F99","4"
"HI06U99","4"
"BL06M99","4"
"BL06F99","4"
"BL06U99","4"
"WH06M99","4"
"WH06F99","4"
"WH06U99","4"
"G0799","4"
"AM07M99","4"
"AM07F99","4"
"AM07U99","4"
"AS07M99","4"
"AS07F99","4"
"AS07U99","4"
"HI07M99","4"
"HI07F99","4"
"HI07U99","4"
"BL07M99","4"
"BL07F99","4"
"BL07U99","4"
"WH07M99","4"
"WH07F99","4"
"WH07U99","4"
"G0899","4"
"AM08M99","4"
"AM08F99","4"
"AM08U99","4"
"AS08M99","4"
"AS08F99","4"
"AS08U99","4"
"HI08M99","4"
"HI08F99","4"
"HI08U99","4"
"BL08M99","4"
"BL08F99","4"
"BL08U99","4"
"WH08M99","4"
"WH08F99","4"
"WH08U99","4"
"G0999","4"
"AM09M99","4"
"AM09F99","4"
"AM09U99","4"
"AS09M99","4"
"AS09F99","4"
"AS09U99","4"
"HI09M99","4"
"HI09F99","4"
"HI09U99","4"
"BL09M99","4"
"BL09F99","4"
"BL09U99","4"
"WH09M99","4"
"WH09F99","4"
"WH09U99","4"
"G1099","4"
"AM10M99","4"
"AM10F99","4"
"AM10U99","4"
"AS10M99","4"
"AS10F99","4"
"AS10U99","4"
"HI10M99","4"
"HI10F99","4"
"HI10U99","4"
"BL10M99","4"
"BL10F99","4"
"BL10U99","4"
"WH10M99","4"
"WH10F99","4"
"WH10U99","4"
"G1199","4"
"AM11M99","4"
"AM11F99","4"
"AM11U99","4"
"AS11M99","4"
"AS11F99","4"
"AS11U99","4"
"HI11M99","4"
"HI11F99","4"
"HI11U99","4"
"BL11M99","4"
"BL11F99","4"
"BL11U99","4"
"WH11M99","4"
"WH11F99","4"
"WH11U99","4"
"G1299","4"
"AM12M99","4"
"AM12F99","4"
"AM12U99","4"
"AS12M99","4"
"AS12F99","4"
"AS12U99","4"
"HI12M99","4"
"HI12F99","4"
"HI12U99","4"
"BL12M99","4"
"BL12F99","4"
"BL12U99","4"
"WH12M99","4"
"WH12F99","4"
"WH12U99","4"
"UG99","4"
"AMUGM99","4"
"AMUGF99","4"
"AMUGU99","4"
"ASUGM99","4"
"ASUGF99","4"
"ASUGU99","4"
"HIUGM99","4"
"HIUGF99","4"
"HIUGU99","4"
"BLUGM99","4"
"BLUGF99","4"
"BLUGU99","4"
"WHUGM99","4"
"WHUGF99","4"
"WHUGU99","4"
"MEMBER99","4"
"AM99","4"
"AMALM99","4"
"AMALF99","4"
"AMALU99","4"
"ASIAN99","4"
"ASALM99","4"
"ASALF99","4"
"ASALU99","4"
"HISP99","4"
"HIALM99","4"
"HIALF99","4"
"HIALU99","4"
"BLACK99","4"
"BLALM99","4"
"BLALF99","4"
"BLALU99","4"
"WHITE99","4"
"WHALM99","4"
"WHALF99","4"
"WHALU99","4"
"TOTETH99","4"
"PUPTCH99","5*"
"TOTGRD99","4"
"ILOCAL99","1"
"IFTE99","1"
"ITITLI99","1"
"ISTITL99","1"
"IMAGNE99","1"
"ICHART99","1"
"IFRELC99","1"
"IREDLC99","1"
"ITOTFR99","1"
"IMIGRN99","1"
"IPK99","1"
"IAMPKM99","1"
"IAMPKF99","1"
"IAMPKU99","1"
"IASPKM99","1"
"IASPKF99","1"
"IASPKU99","1"
"IHIPKM99","1"
"IHIPKF99","1"
"IHIPKU99","1"
"IBLPKM99","1"
"IBLPKF99","1"
"IBLPKU99","1"
"IWHPKM99","1"
"IWHPKF99","1"
"IWHPKU99","1"
"IKG99","1"
"IAMKGM99","1"
"IAMKGF99","1"
"IAMKGU99","1"
"IASKGM99","1"
"IASKGF99","1"
"IASKGU99","1"
"IHIKGM99","1"
"IHIKGF99","1"
"IHIKGU99","1"
"IBLKGM99","1"
"IBLKGF99","1"
"IBLKGU99","1"
"IWHKGM99","1"
"IWHKGF99","1"
"IWHKGU99","1"
"IG0199","1"
"IAM01M99","1"
"IAM01F99","1"
"IAM01U99","1"
"IAS01M99","1"
"IAS01F99","1"
"IAS01U99","1"
"IHI01M99","1"
"IHI01F99","1"
"IHI01U99","1"
"IBL01M99","1"
"IBL01F99","1"
"IBL01U99","1"
"IWH01M99","1"
"IWH01F99","1"
"IWH01U99","1"
"IG0299","1"
"IAM02M99","1"
"IAM02F99","1"
"IAM02U99","1"
"IAS02M99","1"
"IAS02F99","1"
"IAS02U99","1"
"IHI02M99","1"
"IHI02F99","1"
"IHI02U99","1"
"IBL02M99","1"
"IBL02F99","1"
"IBL02U99","1"
"IWH02M99","1"
"IWH02F99","1"
"IWH02U99","1"
"IG0399","1"
"IAM03M99","1"
"IAM03F99","1"
"IAM03U99","1"
"IAS03M99","1"
"IAS03F99","1"
"IAS03U99","1"
"IHI03M99","1"
"IHI03F99","1"
"IHI03U99","1"
"IBL03M99","1"
"IBL03F99","1"
"IBL03U99","1"
"IWH03M99","1"
"IWH03F99","1"
"IWH03U99","1"
"IG0499","1"
"IAM04M99","1"
"IAM04F99","1"
"IAM04U99","1"
"IAS04M99","1"
"IAS04F99","1"
"IAS04U99","1"
"IHI04M99","1"
"IHI04F99","1"
"IHI04U99","1"
"IBL04M99","1"
"IBL04F99","1"
"IBL04U99","1"
"IWH04M99","1"
"IWH04F99","1"
"IWH04U99","1"
"IG0599","1"
"IAM05M99","1"
"IAM05F99","1"
"IAM05U99","1"
"IAS05M99","1"
"IAS05F99","1"
"IAS05U99","1"
"IHI05M99","1"
"IHI05F99","1"
"IHI05U99","1"
"IBL05M99","1"
"IBL05F99","1"
"IBL05U99","1"
"IWH05M99","1"
"IWH05F99","1"
"IWH05U99","1"
"IG0699","1"
"IAM06M99","1"
"IAM06F99","1"
"IAM06U99","1"
"IAS06M99","1"
"IAS06F99","1"
"IAS06U99","1"
"IHI06M99","1"
"IHI06F99","1"
"IHI06U99","1"
"IBL06M99","1"
"IBL06F99","1"
"IBL06U99","1"
"IWH06M99","1"
"IWH06F99","1"
"IWH06U99","1"
"IG0799","1"
"IAM07M99","1"
"IAM07F99","1"
"IAM07U99","1"
"IAS07M99","1"
"IAS07F99","1"
"IAS07U99","1"
"IHI07M99","1"
"IHI07F99","1"
"IHI07U99","1"
"IBL07M99","1"
"IBL07F99","1"
"IBL07U99","1"
"IWH07M99","1"
"IWH07F99","1"
"IWH07U99","1"
"IG0899","1"
"IAM08M99","1"
"IAM08F99","1"
"IAM08U99","1"
"IAS08M99","1"
"IAS08F99","1"
"IAS08U99","1"
"IHI08M99","1"
"IHI08F99","1"
"IHI08U99","1"
"IBL08M99","1"
"IBL08F99","1"
"IBL08U99","1"
"IWH08M99","1"
"IWH08F99","1"
"IWH08U99","1"
"IG0999","1"
"IAM09M99","1"
"IAM09F99","1"
"IAM09U99","1"
"IAS09M99","1"
"IAS09F99","1"
"IAS09U99","1"
"IHI09M99","1"
"IHI09F99","1"
"IHI09U99","1"
"IBL09M99","1"
"IBL09F99","1"
